fill,channel,h,t1,t2,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSX_y,BSX_y_std,BSX_z,BSX_z_std,BSY_x,BSY_x_std,BSY_z,BSY_z_std,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2
8236,28,10,1665160499,1665160800,48572,0,0.01773520848828808,0.0016190724322997507,0.021208173656491802,0.0014163720972587505,0.01904068483241534,0.0008527316233654103,-0.16174269,33.34698,-30.116425,2200.515,-0.6722525,188.85878,-26.038834,8743.713,0.1183144,0.9486326,0.1078142,1.2188569,74.28074601284993
8236,29,10,1665160800,1665161099,47799,0,0.022067455140151876,0.0017007675297629476,0.022395555549477378,0.0011207742868122074,0.0183704759624151,0.000696763784490578,-0.52611977,87.41418,-28.88615,3222.193,-2.6810205,192.70702,-91.07902,6193.8364,0.11678083,0.9652926,0.10066123,1.221462,73.6951874869854
8236,30,10,1665161099,1665161400,48304,0,0.020925369301612956,0.0016301747048162174,0.02323959572940871,0.0011366109544693158,0.01934466619191754,0.0006990728940526846,-0.20467429,33.006416,-21.935358,1747.9637,-2.1262035,210.615,-79.60291,7822.922,0.11531922,0.97140336,0.09908282,1.2184024,75.37323041987003
8236,31,10,1665161400,1665161699,48017,0,0.02072784067378719,0.001652333976859155,0.022624915014293662,0.0011754820956628564,0.019013016076003753,0.0007458982323397291,-0.66437465,125.42128,10.37664,5604.141,-1.8403046,304.04694,-61.82861,10831.481,0.12065677,0.97018546,0.09643618,1.2188662,71.70939960378543
8236,32,10,1665161699,1665162000,48417,0,0.01895833748643333,0.0018989812280248153,0.01808481042086166,0.0019174802746601723,0.01676436532260598,0.0010897136223371375,-0.02534197,16.728968,-15.645124,1688.8551,-0.8990626,140.15062,-35.08717,4546.584,0.12684669,0.96030736,0.101960786,1.1970404,76.38431498148525
8236,33,10,1665162000,1665162299,47916,0,0.01900771954256056,0.0016844512903329417,0.020190336346236244,0.0014940136238098395,0.018274479448573515,0.00085654087330235,-0.033307817,60.33065,-18.090607,5589.4004,-0.80600506,77.688995,-39.74292,2948.4482,0.11812036,0.9644901,0.10280535,1.2177024,73.55511771491753
8236,34,10,1665162299,1665162600,47960,0,0.013525175252319221,0.0017938593647087164,0.018436879343115706,0.002479883285289671,0.017388037542577367,0.0013602723897944771,42.641666,9408.724,1145.5951,254820.28,0.24246587,161.92737,1.216068,5893.9263,0.12418012,0.93284774,0.10628779,1.1851063,72.56812398498433
8236,35,10,1665162600,1665162899,47809,0,0.017703638732067706,0.0015750050309426,0.022103345352930993,0.0013835331699535852,0.01988850513349973,0.000856137278023127,-0.08801284,19.923107,-11.671497,867.37256,-0.216336,369.3456,-19.557165,12947.555,0.12650521,0.9709074,0.0989217,1.2013983,72.02712287825638
8236,36,10,1665162899,1665163200,48133,0,0.013945253853364564,0.0018786298879347324,0.014059592689100297,0.0023877901693651303,0.016114886550704567,0.0011843745868465316,0.23166774,40.21495,-2.8853467,1261.1217,-4.3770194,554.0971,-137.15471,16201.78,0.1324122,0.95119554,0.10966793,1.2040166,71.1069843620168
8236,37,10,1665163200,1665163499,47919,0,0.018071871801261352,0.0015730447647768486,0.021742078632551464,0.0014012025780917765,0.01981674288183185,0.0008576708727072065,-0.71035904,99.64604,-30.877432,3830.8008,-1.9184963,169.6395,-71.71117,6675.959,0.12403614,0.9580676,0.10285745,1.2067823,73.72356792690084
