fill,channel,h,t1,t2,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSX_y,BSX_y_std,BSX_z,BSX_z_std,BSY_x,BSY_x_std,BSY_z,BSY_z_std,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2
8741,-1,10,1683742800,1683743099,163647,0,0.018867906130651618,0.0009220598058361645,0.025053048054375034,0.0006308614369227809,0.017883405832570233,0.000433485978510546,-1.056079,146.79915,-1.8593906,5256.5195,0.18778326,68.93898,-31.098196,2204.4849,0.004914047,1.1195838,0.018800324,1.058349,12.301592237627506
8741,-1,11,1683743100,1683743399,166115,0,0.022993869434379977,0.0009450158780171108,0.025422040019560867,0.0005233819310148866,0.01765756344605609,0.0003725978483150906,-0.36127365,153.38693,14.61924,5383.986,-0.0091528855,153.53693,-40.60207,5442.6826,0.0036749495,1.1327983,0.023972824,1.0819408,12.769323365365436
8741,-1,12,1683743400,1683743699,168041,0,0.02415139223575774,0.0009296572673781478,0.025551493723268738,0.0005019423805653032,0.01804822689633117,0.00035399613427460064,0.10556014,183.73965,34.367607,6814.0674,-0.39979407,121.0199,-20.790768,4081.501,0.0036582313,1.1403661,0.021301892,1.0834887,13.161103282178596
8741,-1,13,1683743700,1683743999,170224,0,0.026070923640862026,0.0009441094430282654,0.02438383015940669,0.0004707042295417057,0.01750360644022799,0.0003278234946500168,-0.08879948,391.24887,26.397224,14284.551,-0.5580392,135.18457,-14.252937,5204.1826,0.0040362095,1.1476796,0.025104733,1.0883653,13.637079660440456
8741,-1,14,1683744000,1683744299,172224,0,0.02734002190357296,0.0009352515028794861,0.025345933120972386,0.00044734241173649894,0.017884470288030953,0.0003160637567878599,0.45595363,649.7957,31.06814,25620.594,1.0890276,271.82596,-31.42109,8109.008,0.0068193893,1.1510223,0.023518162,1.0994704,13.485870629524848
8741,-1,15,1683744300,1683744599,173592,0,0.02946245875961037,0.0009288186543307264,0.026274016492297964,0.0004125946320072543,0.018532218518649425,0.0002899936165333926,-0.35418797,477.49127,22.163132,18394.64,-0.5682766,275.501,-54.11506,10790.104,0.002620757,1.1705023,0.015117106,1.1065032,12.834908867419246
8741,-1,16,1683744600,1683744899,174083,0,0.029394143999083244,0.0009317306390115715,0.02583880844897944,0.0004145861112339229,0.0183287863362849,0.00029249097702332104,-0.45468998,109.67794,5.9568195,4886.5845,-1.4741832,530.5912,-79.99125,19826.73,0.008166451,1.1715419,0.019939201,1.1085968,14.775310010414442
8741,-1,17,1683744900,1683745199,175075,0,0.03251452087579884,0.0009482694745495679,0.02490620226024192,0.00038756642743099576,0.017780959422629833,0.00027555557555960543,-0.7755295,99.348976,8.881709,3586.382,-3.8237684,1708.9355,82.794846,40749.37,0.0025369767,1.177517,0.01987286,1.1209527,13.637105970933819
8741,-1,18,1683745200,1683745499,174728,0,0.032220627003049784,0.0009447610311338756,0.025192980535050393,0.0003871791461976734,0.018158951624582746,0.00027562885949531345,7.8970327,2625.1633,320.34872,99175.516,-0.20251505,211.64783,-35.03301,7127.301,0.002786707,1.1884373,0.020009197,1.1201125,13.125172735428748
8741,-1,19,1683745500,1683745799,174046,0,0.034121829002925375,0.0009583814904380872,0.025635525645622652,0.00036848094998875175,0.0178878292309549,0.0002648608881630661,-0.8028364,276.046,1.7629844,9838.279,-1.2312697,436.87225,144.31706,65520.01,0.0017791524,1.1768185,0.015371315,1.1253732,12.857210144755829
8741,-1,20,1683745800,1683746099,175142,0,0.033839310472625755,0.0009463011058851306,0.025103843341089546,0.0003747041487731015,0.018198597777819958,0.0002665526404598065,0.08949668,236.02057,42.209393,9136.921,-0.24389148,130.89973,-51.104744,7120.8003,-0.0006772397,1.1947407,0.022282884,1.1305698,13.467278873138264
8741,-1,21,1683746100,1683746399,174159,0,0.033251949118964924,0.0009469583839212398,0.025386021199222883,0.0003826522258331272,0.017930559944099516,0.00027255569147133576,-0.13462232,198.01817,9.792208,7247.388,0.44609648,99.74963,-18.299334,3920.7886,0.006113887,1.1837171,0.019396273,1.1284152,14.350910021574737
8741,-1,22,1683746400,1683746699,174422,0,0.03574552234804501,0.000963864612229845,0.025521719684210208,0.000354316414276766,0.0179025305341946,0.00025331623988635206,5.069763,1942.9626,213.63786,72951.81,-1.1837872,368.11044,-63.249508,12274.173,-0.0005448112,1.1978523,0.013646403,1.1323521,13.507672169620525
